               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.028365,            0.014806,                   0,             0.65833,             0.41018,             0.43201,              0.2069,             0.05119,            0.014772,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.028371,            0.014758,                   0,             0.63379,             0.41369,             0.41601,             0.20515,            0.050498,            0.014775,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.027762,            0.014684,                   0,              0.5969,             0.36775,             0.38978,             0.19551,            0.051838,             0.01538,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.027817,            0.014535,                   0,             0.61919,             0.39038,               0.413,             0.20158,             0.05022,            0.015475,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.027671,            0.014735,                   0,             0.59742,              0.4314,             0.43811,             0.21626,            0.049532,            0.014908,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.027824,            0.014778,                   0,             0.62591,              0.4215,             0.43007,             0.20879,            0.049507,            0.014891,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.027618,            0.014528,                   0,             0.63519,             0.36068,              0.3846,             0.19487,            0.051429,            0.015411,                   0,            0.007096,            0.007096,            0.007096
                  46,             0.02746,            0.013959,                   0,             0.59315,             0.37058,             0.39725,             0.20342,            0.052153,            0.015474,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.026809,            0.014304,                   0,             0.65461,             0.38472,             0.41139,             0.19921,            0.051736,            0.015392,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.026797,            0.014144,                   0,             0.64892,             0.38048,             0.41326,             0.19867,            0.051291,            0.015586,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.026836,            0.014096,                   0,             0.64667,             0.39887,             0.42374,             0.20743,            0.050508,             0.01537,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.026969,            0.014137,                   0,             0.58375,             0.39604,               0.404,             0.19447,             0.05163,            0.016052,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.026213,            0.014023,                   0,             0.58551,             0.42716,             0.43164,             0.21096,             0.04989,             0.01556,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.026095,            0.013859,                   0,             0.62154,              0.4116,             0.40843,             0.20059,            0.051279,            0.015724,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.025657,            0.013571,                   0,             0.63249,             0.37765,              0.3994,             0.20304,            0.051479,            0.016044,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.025882,            0.013649,                   0,             0.59329,             0.39409,             0.38578,             0.19748,            0.050654,            0.015868,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.025412,            0.013597,                   0,             0.58488,             0.38614,             0.40711,             0.19854,            0.051755,            0.016357,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.025465,            0.013391,                   0,             0.63638,             0.38048,             0.39576,             0.19645,            0.053283,            0.016309,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.025164,            0.013508,                   0,             0.57446,             0.41584,              0.4183,             0.20785,             0.05194,            0.016107,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.025142,            0.013229,                   0,             0.63608,             0.37199,             0.39638,             0.19832,            0.051922,            0.016429,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.025061,            0.013427,                   0,             0.59939,             0.37765,             0.39282,             0.20359,            0.052063,            0.016443,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.024599,            0.012911,                   0,              0.6141,             0.36775,             0.38669,             0.19855,            0.051551,            0.017196,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.024588,            0.012958,                   0,             0.60896,             0.36351,             0.35602,             0.18448,            0.051791,            0.016907,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.024696,            0.013141,                   0,             0.59369,             0.37624,             0.39912,             0.20656,            0.051192,             0.01629,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.024451,            0.013053,                   0,             0.63216,             0.36209,             0.40383,               0.205,            0.053158,            0.016575,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.024357,            0.012993,                   0,              0.6318,              0.3918,             0.41387,             0.20772,            0.051466,            0.016507,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.023898,            0.012872,                   0,              0.6024,             0.37716,             0.40712,             0.21238,            0.051023,            0.015818,                   0,            0.005776,            0.005776,            0.005776
                  66,             0.02413,            0.013066,                   0,             0.58921,             0.36775,             0.40132,             0.20598,            0.052105,            0.016729,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.023917,            0.012641,                   0,             0.57503,             0.41018,             0.41885,             0.21698,            0.049909,            0.016302,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.023495,            0.012632,                   0,             0.60805,             0.36775,             0.40141,             0.21102,            0.050375,            0.017293,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.023607,            0.012618,                   0,             0.60659,             0.36492,              0.3922,             0.20381,            0.052616,            0.017189,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.023521,            0.012583,                   0,             0.64647,             0.38755,             0.41357,             0.21114,            0.051832,            0.016934,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.023225,            0.012433,                   0,             0.61554,             0.37058,             0.40554,             0.20745,            0.051958,            0.017222,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.023274,            0.012545,                   0,             0.60419,             0.33682,             0.37054,             0.19523,            0.053615,            0.017549,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.022871,             0.01237,                   0,             0.59291,             0.35078,             0.39166,             0.20021,            0.053439,            0.016977,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.022725,            0.012201,                   0,              0.6657,             0.34644,             0.39826,             0.20655,             0.05208,            0.016702,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.022719,            0.012168,                   0,             0.65718,             0.35361,             0.39625,             0.20219,            0.052205,             0.01698,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.022469,            0.012285,                   0,             0.65381,             0.34512,              0.3929,             0.20456,            0.052077,            0.017618,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.022339,            0.011993,                   0,             0.70246,             0.36209,             0.39946,             0.20473,            0.052875,             0.01714,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.022238,            0.012036,                   0,              0.6326,             0.35558,             0.39632,             0.20684,            0.052648,            0.017985,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.022171,            0.011829,                   0,             0.65316,             0.38472,             0.42585,             0.21763,            0.052155,            0.017163,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.022194,            0.011958,                   0,             0.65387,             0.38477,             0.42555,             0.20961,            0.052237,            0.017363,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.021969,            0.011784,                   0,             0.65121,             0.36775,             0.39166,             0.19869,            0.052831,            0.017762,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.021874,            0.011823,                   0,             0.64843,             0.35219,             0.36594,             0.18723,            0.053916,             0.01792,                   0,            0.004654,            0.004654,            0.004654
                  83,             0.02152,            0.011529,                   0,             0.67457,             0.36351,             0.39868,              0.1996,            0.052504,            0.017929,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.021698,            0.011633,                   0,              0.6274,             0.36201,             0.39631,             0.20164,            0.051812,            0.017617,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.021248,            0.011444,                   0,             0.62952,             0.35219,             0.39554,             0.20626,            0.053144,            0.018208,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.021113,            0.011486,                   0,             0.71779,             0.35361,             0.40383,             0.20411,            0.051575,            0.017845,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.021205,            0.011456,                   0,             0.66288,             0.35502,             0.40966,             0.21169,            0.052408,            0.018079,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.020876,            0.011244,                   0,             0.65701,              0.3468,             0.39361,             0.20445,            0.053626,            0.018582,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.020835,            0.011457,                   0,             0.67037,             0.34936,             0.40705,             0.20865,             0.05273,              0.0185,                   0,            0.004192,            0.004192,            0.004192
                  90,             0.02103,            0.011284,                   0,              0.6697,             0.35078,             0.39944,             0.20471,            0.052789,            0.018392,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.020807,            0.011027,                   0,             0.68693,             0.34229,             0.40461,             0.20213,            0.052873,            0.018705,                   0,             0.00406,             0.00406,             0.00406
                  92,             0.02043,            0.011223,                   0,             0.65071,              0.3338,             0.39105,             0.20102,            0.053468,            0.018215,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.020193,            0.011007,                   0,             0.69846,             0.34512,             0.40802,             0.20656,            0.052212,            0.018194,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.020651,            0.011086,                   0,             0.63494,             0.35219,              0.3996,             0.19837,            0.053061,            0.018344,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.020206,            0.011171,                   0,             0.64488,              0.3338,             0.39487,             0.19896,            0.053151,            0.018731,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.020092,            0.010756,                   0,             0.65941,             0.35502,             0.41058,             0.20456,            0.052582,            0.018161,                   0,             0.00373,             0.00373,             0.00373
